time,conductivity,humidity,nitrogen,phosphorus,potassium,pH,temperature
2025-10-14T22:19:37.204564+05:30,0,0.0,0,0,0,5.6,24.2
2025-10-14T22:19:45.892516+05:30,0,7.9,0,0,0,5.8,24.2
2025-10-14T22:19:54.202982+05:30,0,38.8,0,0,0,6.4,25.8
2025-10-14T22:20:02.693431+05:30,0,0.0,0,0,0,5.8,26.1
2025-10-14T22:20:11.413067+05:30,0,0.0,0,0,0,5.5,25.7
2025-10-14T22:20:20.218485+05:30,0,0.0,0,0,0,5.5,25.3
2025-10-14T22:20:28.748417+05:30,0,0.0,0,0,0,5.5,25.9
2025-10-14T22:20:37.208571+05:30,0,0.0,0,0,0,5.6,25.5
2025-10-14T22:20:45.088723+05:30,0,0.0,0,0,0,5.5,24.3
2025-10-14T22:20:53.706596+05:30,0,0.0,0,0,0,5.6,23.9
2025-10-14T22:21:02.291950+05:30,0,0.0,0,0,0,5.6,23.7
2025-10-14T22:21:10.448228+05:30,0,0.0,0,0,0,5.7,23.6
2025-10-14T22:21:18.882135+05:30,0,0.0,0,0,0,5.5,23.4
2025-10-14T22:21:27.392079+05:30,0,0.0,0,0,0,5.6,23.3
2025-10-14T22:21:35.972270+05:30,0,0.0,0,0,0,5.7,23.2
2025-10-14T22:21:44.590607+05:30,0,0.0,0,0,0,5.6,23.1
2025-10-14T22:21:53.293323+05:30,0,0.0,0,0,0,5.7,23.0
2025-10-14T22:22:01.694622+05:30,0,0.0,0,0,0,5.6,24.0
2025-10-14T22:22:09.853797+05:30,0,0.0,0,0,0,5.5,22.8
2025-10-14T22:22:18.076100+05:30,0,0.0,0,0,0,5.6,24.0
2025-10-14T22:22:26.152444+05:30,0,0.0,0,0,0,5.7,22.7
2025-10-14T22:22:34.635538+05:30,0,0.0,0,0,0,6.0,23.9
2025-10-14T22:22:42.892455+05:30,0,0.0,0,0,0,5.6,22.7
2025-10-14T22:22:51.133443+05:30,0,0.0,0,0,0,5.6,22.7
2025-10-14T22:22:59.559691+05:30,0,0.0,0,0,0,5.7,23.9
2025-10-14T22:23:07.943584+05:30,0,0.0,0,0,0,5.6,22.7
2025-10-14T22:23:16.232785+05:30,0,0.0,0,0,0,5.7,22.7
2025-10-14T22:23:24.549210+05:30,0,0.0,0,0,0,5.7,22.7
2025-10-14T22:23:33.243260+05:30,0,0.0,0,0,0,5.5,22.8
2025-10-14T22:23:41.547925+05:30,0,0.0,0,0,0,5.5,23.3
2025-10-14T22:23:50.080600+05:30,0,0.0,0,0,0,5.7,22.7
2025-10-14T22:23:58.413189+05:30,0,0.0,0,0,0,5.7,22.6
2025-10-14T22:24:06.653357+05:30,0,0.0,0,0,0,3.7,22.8
2025-10-14T22:24:14.943845+05:30,0,18.8,0,0,0,5.9,22.8
2025-10-14T22:24:23.111330+05:30,103,27.6,0,6,0,8.1,24.6
2025-10-14T22:24:31.199461+05:30,103,27.7,0,6,0,7.1,25.5
2025-10-14T22:24:39.204289+05:30,104,31.5,0,7,0,7.1,25.8
2025-10-14T22:24:47.579896+05:30,101,29.1,0,5,0,6.9,26.0
2025-10-14T22:24:55.868661+05:30,0,0.0,0,0,0,5.6,25.8
2025-10-14T22:25:04.375670+05:30,0,0.0,0,0,0,5.7,23.8
2025-10-14T22:25:12.783781+05:30,4,24.1,0,0,0,9.0,23.0
2025-10-14T22:25:21.470359+05:30,0,18.9,0,0,0,8.1,22.9
2025-10-14T22:25:56.443176+05:30,0,11.9,0,0,0,7.4,22.1
2025-10-14T22:26:04.999825+05:30,0,11.9,0,0,0,7.4,22.0
2025-10-14T22:26:13.841178+05:30,0,11.9,0,0,0,7.2,21.8
2025-10-14T22:26:22.659243+05:30,0,11.9,0,0,0,7.1,21.7
2025-10-14T22:26:31.029582+05:30,0,11.8,0,0,0,7.1,21.4
2025-10-14T22:26:39.771270+05:30,0,11.8,0,0,0,7.0,21.4
2025-10-14T22:26:48.410548+05:30,139,52.5,0,24,16,9.0,22.7
2025-10-14T22:26:56.833709+05:30,142,54.8,0,25,17,8.1,25.1
2025-10-14T22:27:05.207698+05:30,0,41.3,0,0,0,8.3,25.0
2025-10-14T22:27:13.655576+05:30,58,45.3,0,0,0,8.3,24.5
2025-10-14T22:27:22.307796+05:30,139,56.0,0,24,16,8.4,24.4
2025-10-14T22:27:31.007118+05:30,144,44.1,0,26,18,8.5,25.7
2025-10-14T22:27:39.307985+05:30,144,44.2,0,26,18,8.1,26.0
2025-10-14T22:27:47.839855+05:30,144,44.2,0,26,18,8.0,26.1
2025-10-14T22:27:56.614955+05:30,144,44.3,0,26,18,7.9,26.1
2025-10-14T22:28:05.418573+05:30,144,44.3,0,26,18,7.9,26.2
2025-10-14T22:28:13.616905+05:30,144,44.2,0,26,18,7.9,26.2
2025-10-14T22:28:22.305698+05:30,0,26.2,0,0,0,9.0,25.4
2025-10-14T22:30:26.512991+05:30,151,55.7,0,30,22,7.6,25.9
2025-10-14T22:30:34.976598+05:30,150,56.2,0,29,21,7.6,26.0
2025-10-14T22:30:44.042226+05:30,150,56.2,0,29,21,7.5,26.0
2025-10-14T22:30:52.365657+05:30,150,56.2,0,29,21,7.5,26.1
2025-10-14T22:31:42.692715+05:30,183,60.0,0,45,37,7.2,24.2
2025-10-14T22:31:51.138802+05:30,183,59.8,0,45,37,7.1,24.2
2025-10-14T22:31:59.567932+05:30,183,59.8,0,45,37,7.0,24.2
2025-10-14T22:32:07.735581+05:30,183,60.0,0,45,37,7.0,24.2
2025-10-14T22:32:16.374315+05:30,181,59.5,0,44,36,6.9,24.2
2025-10-14T22:32:24.897246+05:30,181,59.5,0,44,36,6.9,24.2
2025-10-14T22:32:33.489359+05:30,262,100.0,16,83,76,7.0,24.6
2025-10-14T22:32:42.105428+05:30,253,93.5,14,79,71,7.0,24.8
2025-10-14T22:32:50.585261+05:30,234,87.2,10,70,62,7.0,24.8
2025-10-14T22:32:59.007515+05:30,225,85.9,8,65,58,7.0,24.7
2025-10-14T22:33:07.598295+05:30,219,84.7,7,62,55,6.8,24.7
2025-10-14T22:33:16.098749+05:30,216,84.2,6,61,53,6.9,24.6
2025-10-14T22:33:24.706044+05:30,214,83.3,6,60,52,6.9,24.6
2025-10-14T22:33:33.091431+05:30,212,82.6,5,59,51,6.9,24.6
2025-10-14T22:33:44.152795+05:30,210,81.8,5,58,50,6.9,24.5
2025-10-14T22:33:52.436573+05:30,209,80.8,5,58,50,6.9,24.5
2025-10-14T22:34:02.305173+05:30,208,80.0,4,57,49,6.9,24.5
2025-10-14T22:34:10.588575+05:30,207,78.9,4,57,49,6.8,24.5
2025-10-14T22:34:19.791628+05:30,207,78.9,4,57,49,6.8,24.5
2025-10-14T22:34:27.989889+05:30,206,78.2,4,56,48,6.8,24.4
2025-10-14T22:34:36.180194+05:30,206,77.8,4,56,48,6.8,24.3
2025-10-14T22:34:44.380017+05:30,205,77.5,4,56,48,6.8,24.3
2025-10-14T22:34:52.603826+05:30,205,77.5,4,56,48,6.8,24.3
2025-10-14T22:35:00.745726+05:30,204,77.5,4,55,47,6.8,24.3
2025-10-14T22:35:08.961832+05:30,204,77.5,4,55,47,6.8,24.3
2025-10-14T22:35:17.170006+05:30,203,77.1,3,55,47,6.8,24.3
