time,conductivity,humidity,nitrogen,phosphorus,potassium,pH,temperature,latitude,longitude
2026-08-26T03:27:04.842151+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:27:11.998111+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:27:19.194146+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:27:26.657924+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:27:33.721788+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:27:40.887225+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:27:48.046052+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:27:55.225929+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:28:02.401503+05:30,540,33.3,307,9,80,7.46,24.2,,
2026-08-26T03:28:09.561406+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:28:16.737223+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:28:23.901111+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:28:31.070080+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:28:38.449903+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:28:46.028561+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:28:53.613112+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:00.979193+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:08.138162+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:15.296225+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:22.894158+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:30.258963+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:37.420096+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:44.598501+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:51.964872+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:29:59.138143+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:30:06.515877+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:30:13.884936+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:30:21.473955+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:30:28.618628+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:30:35.797894+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:30:43.384681+05:30,540,33.3,308,9,80,7.46,24.3,,
2026-08-26T03:30:50.756171+05:30,540,33.3,308,10,80,7.46,24.4,,
2026-08-26T03:30:57.918274+05:30,540,33.3,308,10,80,7.46,24.4,,
2026-08-26T03:31:05.079789+05:30,540,33.3,308,10,80,7.46,24.4,,
2026-08-26T03:31:12.639706+05:30,540,33.3,308,10,80,7.46,24.4,,
2026-08-26T03:31:19.820497+05:30,540,33.3,308,10,80,7.46,24.4,,
2026-08-26T03:31:27.212630+05:30,540,33.3,317,7,83,7.46,24.4,,
2026-08-26T03:31:34.358609+05:30,540,33.3,317,7,83,7.46,24.4,,
2026-08-26T03:31:41.538399+05:30,540,33.3,317,7,83,7.46,24.4,,
2026-08-26T03:31:48.910227+05:30,540,33.3,308,10,80,7.46,24.4,,
2026-08-26T03:31:56.068702+05:30,540,33.3,308,10,81,7.47,24.5,,
2026-08-26T03:32:03.247641+05:30,540,33.3,308,10,81,7.47,24.5,,
2026-08-26T03:32:10.824924+05:30,540,33.3,308,10,81,7.47,24.5,,
2026-08-26T03:32:18.200359+05:30,540,33.3,308,10,81,7.47,24.5,,
